full_name,usual_name,created_at,country,category,detailed_category,sector,logo_url,last_full_update
Microsoft,Microsoft,1975,U.S.,null,public,null,https://zdnet2.cbsistatic.com/hub/i/r/2014/08/27/0d77a99a-2da9-11e4-9e6a-00505685119a/resize/1200x900/02acdb68a1edf918b42c3fabf4843745/microsofts-logo-gets-a-makeover.jpg,null
Marathon Petroleum,Marathon Petroleum,2009,U.S.,null,public,oil_gas_production_and_refining,https://www.marathonpetroleum.com/content/inline-images/marathonpetroleum/News/Corporate_Logos/Mlogo_600_px_width.jpg,null
Kroger,Kroger,1883,U.S.,null,public,null,https://upload.wikimedia.org/wikipedia/commons/6/69/Kroger_logo_%281961-2019%29.svg,null
Fannie Mae,Fannie Mae,1938,U.S.,null,public,financial_and_professional_services,https://pbs.twimg.com/profile_images/1260274484587778049/UMTKARBv_400x400.jpg,null
Bank of america,Bank of america,1998,U.S.,null,public,financial_and_professional_services,https://www.logotaglines.com/wp-content/uploads/2016/11/Bank-Of-America-Logo.png,null
Home Depot,Home Depot,1978,U.S.,null,public,mull,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/TheHomeDepot.svg/250px-TheHomeDepot.svg.png,null
Phillips 66,Phillips 66,2012,U.S.,null,public,oil_gas_production_and_refining,https://cdn.worldvectorlogo.com/logos/phillips-66.svg,null
Comcast,Comcast,1963,U.S.,null,public,postal_and_telecommunication_services,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Comcast_Logo.svg/1024px-Comcast_Logo.svg.png,null
Anthem,Anthem,2004,U.S.,null,public,health_services,https://lh3.googleusercontent.com/proxy/Rm4kqXJ4uDbBvVj4SSfgQ2FX1tlbRW3gMmGnNU3AmwuC-G6R7ucu96tYLvIZPx9XZY0nfJjjP82rFgrPpd0UCiyp5mqXtZJw,null
Wells Fargo,Wells Fargo,1852,U.S.,null,public,financial_and_professional_services,https://upload.wikimedia.org/wikipedia/commons/c/c9/Wells_Fargo_Logo_%282020%29.png,null