company_name,employee_count,part_time_employee_count,diversity_policy_url,diversity_report_url,ice_contract,mean_wages,median_wages,executive_team_size,executive_team_photo,executive_team_ceo_wages
Microsoft,163000,null,https://careers.microsoft.com/us/en/legalpolicies,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE4aqv1,TRUE,null,null,16,https://news.microsoft.com/leadership/,null
Marathon Petroleum,60910,null,https://www.marathonpetroleum.com/Sustainability/Diversity-and-Inclusion/,https://sustainability.marathonpetroleum.com/Reader/Page/36,FALSE,null,null,20,https://www.marathonpetroleum.com/About/Leadership/,null
Kroger,435000,null,null,http://sustainability.kroger.com/Kroger-2020-ESG-Report.pdf,FALSE,null,null,26,http://ir.kroger.com/CorporateProfile/governance/management-directors/default.aspx,null
Fannie Mae,7500,null,https://www.fanniemae.com/about-us/who-we-are/diversity-and-inclusion,null,FALSE,null,null,12,https://www.fanniemae.com/about-us/fannie-mae-leadership-team,null
Bank of america,208131,null,https://about.bankofamerica.com/en-us/what-guides-us/diversity-and-inclusion.html#fbid=LdYnezkD11P,http://investor.bankofamerica.com/static-files/22c64304-00dc-4706-9836-28f4bcfab311,null,null,null,15,http://investor.bankofamerica.com/corporate-governance/officers-and-directors/executive-management-team/,null
Home Depot,415700,null,https://corporate.homedepot.com/responsibility/people/diversity-and-inclusion,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/reports-and-presentations/Home%20Depot%20Diversity%20%20Inclusion.pdf,null,null,null,10,https://corporate.homedepot.com/leadership?field_leadership_category_tid=203,null
Phillips 66,4500,null,null,https://www.phillips66.com/Sustainability-site/Documents/InclusionDiversity-Brochure.pdf,null,null,null,10,https://www.phillips66.com/annual-report/executive-leadership-team,null
Comcast,190000,null,https://corporate.comcast.com/values/diversity-equity-inclusion,https://corporate.comcast.com/values/diversityreport/2018,TRUE,null,null,20,https://corporate.comcast.com/company/leadership,null
Anthem,70600,null,https://www.anthemcorporateresponsibility.com/diversity-and-inclusion,null,null,null,null,9,https://www.antheminc.com/AboutAnthemInc/Leadership/ExecutiveLeadership/index.htm,null
Wells Fargo,259800,null,https://www.wellsfargo.com/about/diversity/diversity-and-inclusion/,https://www08.wellsfargomedia.com/assets/pdf/about/corporate/business-standards-report.pdf,null,null,null,17,https://www.wellsfargo.com/about/corporate/governance/,null